Discipline,MUA/P ID,Service Area Name,Designation Type,Primary State Name,County,Index of Medical Underservice Score,Status,Rural Status,Designation Date,Update Date
Primary Care,03760,Anthony Creek District - County,Medically Underserved Area,West Virginia,Greenbrier,0,Designated,Rural,07/12/1994,07/12/1994
Primary Care,07804,Barbour,Medically Underserved Area,West Virginia,Barbour,59.1,Designated,Rural,03/16/2011,03/16/2011
Primary Care,03747,Blue Sulphur District,Medically Underserved Area,West Virginia,Greenbrier,59.8,Designated,Rural,02/09/1984,05/04/1994
Primary Care,03704,Braxton County,Medically Underserved Area,West Virginia,Braxton,61.3,Designated,Rural,11/01/1978,01/05/2012
Primary Care,03753,Cabell Service Area,Medically Underserved Area,West Virginia,Cabell,53.08,Designated,Non-Rural,05/12/1994,05/12/1994
Primary Care,03705,CALHOUN SERVICE AREA,Medically Underserved Area,West Virginia,Calhoun,55,Designated,Rural,11/01/1978,12/19/2011
Primary Care,07514,Cameron Service Area,Medically Underserved Area,West Virginia,Marshall,60.1,Designated,Non-Rural,12/30/2005,02/07/2013
Primary Care,03706,Clay County,Medically Underserved Area,West Virginia,Clay,57.3,Designated,Rural,11/01/1978,01/24/2012
Primary Care,03727,Clear Fork District,Medically Underserved Area,West Virginia,Raleigh,56.6,Designated,Non-Rural,11/01/1978,11/01/1978
Primary Care,03728,Clear Fork Service Area,Medically Underserved Area,West Virginia,Raleigh,58.4,Designated,Non-Rural,11/01/1978,11/01/1978
Primary Care,02907,Doddridge County,Medically Underserved Area,West Virginia,Doddridge,58.9,Designated,Rural,11/01/1978,12/19/2011
Primary Care,03761,Falling Springs District - County,Medically Underserved Area,West Virginia,Greenbrier,0,Designated,Rural,07/12/1994,07/12/1994
Primary Care,03755,Grant District,Medically Underserved Area,West Virginia,Grant,53.8,Designated,Rural,07/12/1994,04/18/2013
Primary Care,1541852961,Hampshire County,Medically Underserved Area,West Virginia,Hampshire,52,Designated,Rural,11/01/1978,11/13/2024
Primary Care,03711,HARDY SERVICE AREA,Medically Underserved Area,West Virginia,Hardy,49.9,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03712,Harris Service Area,Medically Underserved Area,West Virginia,Harrison,61.6,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03748,Huttonsville District Service Area,Medically Underserved Area,West Virginia,Randolph,60.7,Designated,Rural,07/10/1984,03/17/2011
Primary Care,03713,Jackson County,Medically Underserved Area,West Virginia,Jackson,61,Designated,Rural,11/01/1978,02/08/2013
Primary Care,03714,Jefferson Service Area,Medically Underserved Area,West Virginia,Jefferson,47.4,Designated,Non-Rural,11/01/1978,11/01/1978
Primary Care,03749,Kanawha Service Area,Medically Underserved Area,West Virginia,Kanawha,56.7,Designated,Non-Rural,05/04/1994,05/04/1994
Primary Care,03758,Kanawha Service Area,Medically Underserved Area,West Virginia,Kanawha,49.17,Designated,Non-Rural,05/12/1994,05/12/1994
Primary Care,03716,LEWIS SERVICE AREA,Medically Underserved Area,West Virginia,Lewis,33.9,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03717,LINCOLN SERVICE AREA,Medically Underserved Area,West Virginia,Lincoln,39.4,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03718,LOGAN SERVICE AREA,Medically Underserved Area,West Virginia,Logan,57,Designated,Rural,11/01/1978,11/01/1978
Primary Care,07615,Low Inc - Mercer County,Medically Underserved Area,West Virginia,Mercer,55.3,Designated,Rural,06/11/1993,06/11/1993
Primary Care,03720,MASON SERVICE AREA,Medically Underserved Area,West Virginia,Mason,45.7,Designated,Rural,11/01/1978,11/01/1978
Primary Care,07780,McDowell,Medically Underserved Area,West Virginia,McDowell,56.8,Designated,Rural,12/17/2010,12/17/2010
Primary Care,1548198193,Mingo,Medically Underserved Area,West Virginia,Mingo,58.4,Designated,Rural,11/01/1978,11/15/2018
Primary Care,03745,Monongalia Service Area,Medically Underserved Area,West Virginia,Monongalia,61.3,Designated,Non-Rural,12/28/1983,05/04/1994
Primary Care,03722,MONROE COUNTY,Medically Underserved Area,West Virginia,Monroe,60.3,Designated,Rural,11/01/1978,09/13/2011
Primary Care,03723,NICHOLAS SERVICE AREA,Medically Underserved Area,West Virginia,Nicholas,55.6,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03754,Ohio Service Area,Medically Underserved Area,West Virginia,Ohio,52.28,Designated,Non-Rural,05/12/1994,05/12/1994
Primary Care,07916,Pleasants County,Medically Underserved Area,West Virginia,Pleasants,61.1,Designated,Rural,04/16/2013,04/16/2013
Primary Care,07821,Pocahontas,Medically Underserved Area,West Virginia,Pocahontas,57.5,Designated,Rural,06/13/2011,06/13/2011
Primary Care,03725,PRESTON SERVICE AREA,Medically Underserved Area,West Virginia,Preston,45.1,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03726,PUTNAM SERVICE AREA,Medically Underserved Area,West Virginia,Putnam,48.7,Designated,Non-Rural,11/01/1978,11/01/1978
Primary Care,07752,Richmond Service Area,Medically Underserved Area,West Virginia,Raleigh,59.6,Designated,Non-Rural,05/15/1994,05/15/1994
Primary Care,07833,Ritchie,Medically Underserved Area,West Virginia,Ritchie,62.4,Designated,Rural,08/18/2011,08/18/2011
Primary Care,03733,Summers County,Medically Underserved Area,West Virginia,Summers,46.4,Designated,Rural,11/01/1978,05/22/2012
Primary Care,03734,TAYLOR SERVICE AREA,Medically Underserved Area,West Virginia,Taylor,53.2,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03735,Tucker County,Medically Underserved Area,West Virginia,Tucker,61,Designated,Rural,11/01/1978,10/11/2012
Primary Care,06127,TYLER COUNTY,Medically Underserved Area,West Virginia,Tyler,57.8,Designated,Rural,02/11/2000,05/27/2011
Primary Care,07049,Union District,Medically Underserved Area,West Virginia,Grant,61.7,Designated,Rural,07/26/1995,05/15/2013
Primary Care,03737,UPSHUR SERVICE AREA,Medically Underserved Area,West Virginia,Upshur,51.2,Designated,Rural,11/01/1978,11/01/1978
Primary Care,03738,WAYNE SERVICE AREA,Medically Underserved Area,West Virginia,Wayne,50.1,Designated,Non-Rural,11/01/1978,11/01/1978
Primary Care,03739,Webster County,Medically Underserved Area,West Virginia,Webster,57.4,Designated,Rural,11/01/1978,03/28/2003
Primary Care,07523,West Augusta Service Area,Medically Underserved Area,West Virginia,Marion,55.7,Designated,Rural,09/06/1994,09/06/1994
Primary Care,07086,West Cabell County,Medically Underserved Area,West Virginia,Cabell,48.9,Designated,Non-Rural,09/26/2001,09/26/2001
Primary Care,03762,Williamsburg District - County,Medically Underserved Area,West Virginia,Greenbrier,0,Designated,Rural,07/12/1994,07/12/1994
Primary Care,03742,Wyoming County,Medically Underserved Area,West Virginia,Wyoming,60,Designated,Rural,05/15/1994,05/25/2012
Primary Care,03715,Clendenin Service Area,Medically Underserved Area – Governor’s Exception,West Virginia,Kanawha,0,Designated,Non-Rural,06/08/1995,06/08/1995
Primary Care,07563,Low Inc - Hancock County,Medically Underserved Area – Governor’s Exception,West Virginia,Hancock,71,Designated,Partially Rural,03/02/2007,03/02/2007
Primary Care,07796,Low Inc - Pendleton County,Medically Underserved Population,West Virginia,Pendleton,61.3,Designated,Rural,02/04/2011,02/04/2011
Primary Care,07816,Low Income - Gilmer County,Medically Underserved Population,West Virginia,Gilmer,58.6,Designated,Rural,04/11/2011,04/11/2011
Primary Care,07954,Low Income - Mineral County,Medically Underserved Population,West Virginia,Mineral,63.6,Designated,Partially Rural,03/24/2014,03/24/2014
Primary Care,07907,Low Income - Morgan County,Medically Underserved Population,West Virginia,Morgan,60.7,Designated,Rural,02/26/2013,02/26/2013
Primary Care,07891,Low Income - Roane County,Medically Underserved Population,West Virginia,Roane,60.4,Designated,Rural,10/11/2012,10/11/2012
Primary Care,07824,Low Income - Wetzel County,Medically Underserved Population,West Virginia,Wetzel,57.1,Designated,Rural,06/30/2011,06/30/2011
Primary Care,06207,Low Income Pop of New Haven/Plateau,Medically Underserved Population,West Virginia,Fayette,61.3,Designated,Non-Rural,03/30/2001,03/30/2001
Primary Care,07730,Low Income-Boone,Medically Underserved Population,West Virginia,Boone,61.4,Designated,Rural,11/04/2009,05/17/2012
Primary Care,03741,WIRT COUNTY,Medically Underserved Population,West Virginia,Wirt,61.1,Designated,Rural,11/01/1978,04/18/2013
